id,date,calories
1503960366,4/23/2016,1949
1624580081,4/23/2016,1562
1644430081,4/23/2016,2677
1844505072,4/23/2016,1645
1927972279,4/23/2016,2499
2022484408,4/23/2016,2069
2026352035,4/23/2016,1916
2320127002,4/23/2016,1804
2347167796,4/23/2016,2629
2873212765,4/23/2016,2021
3372868164,4/23/2016,1995
3977333714,4/23/2016,1638
4020332650,4/23/2016,1980
4319703577,4/23/2016,1945
4388161847,4/23/2016,3306
4445114986,4/23/2016,2149
4558609924,4/23/2016,2085
4702921684,4/23/2016,3691
5553957443,4/23/2016,1776
5577150313,4/23/2016,3152
6117666160,4/23/2016,2651
6290855005,4/23/2016,2664
6775888955,4/23/2016,1841
6962181067,4/23/2016,2571
7007744171,4/23/2016,2284
7086361926,4/23/2016,1965
8053475328,4/23/2016,3554
8253242879,4/23/2016,2132
8378563200,4/23/2016,2908
8583815059,4/23/2016,3012
8792009665,4/23/2016,2748
8877689391,4/23/2016,3891
1503960366,4/24/2016,1788
1624580081,4/24/2016,1617
1644430081,4/24/2016,2413
1844505072,4/24/2016,1347
1927972279,4/24/2016,2324
2022484408,4/24/2016,2529
2026352035,4/24/2016,1401
2320127002,4/24/2016,1725
2347167796,4/24/2016,2187
2873212765,4/24/2016,1898
3372868164,4/24/2016,1921
3977333714,4/24/2016,1655
4020332650,4/24/2016,1980
4319703577,4/24/2016,1880
4388161847,4/24/2016,2885
4445114986,4/24/2016,2247
4558609924,4/24/2016,2173
4702921684,4/24/2016,3538
5553957443,4/24/2016,1507
5577150313,4/24/2016,4392
6117666160,4/24/2016,2305
6290855005,4/24/2016,2703
6775888955,4/24/2016,2053
6962181067,4/24/2016,1705
7007744171,4/24/2016,2667
7086361926,4/24/2016,2049
8053475328,4/24/2016,3577
8253242879,4/24/2016,1976
8378563200,4/24/2016,2741
8583815059,4/24/2016,2889
8792009665,4/24/2016,1799
8877689391,4/24/2016,3455
1503960366,4/25/2016,2013
1624580081,4/25/2016,1492
1644430081,4/25/2016,2497
1844505072,4/25/2016,1347
1927972279,4/25/2016,2100
2022484408,4/25/2016,2470
2026352035,4/25/2016,1576
2320127002,4/25/2016,1654
2347167796,4/25/2016,2095
2873212765,4/25/2016,1907
3372868164,4/25/2016,2010
3977333714,4/25/2016,1570
4020332650,4/25/2016,1980
4319703577,4/25/2016,2314
4388161847,4/25/2016,3288
4445114986,4/25/2016,2070
4558609924,4/25/2016,2225
4702921684,4/25/2016,3064
5553957443,4/25/2016,2033
5577150313,4/25/2016,3374
6117666160,4/25/2016,1497
6290855005,4/25/2016,2771
6775888955,4/25/2016,2484
6962181067,4/25/2016,2194
7007744171,4/25/2016,3055
7086361926,4/25/2016,2752
8053475328,4/25/2016,3403
8253242879,4/25/2016,1909
8378563200,4/25/2016,4005
8583815059,4/25/2016,2547
8792009665,4/25/2016,1688
8877689391,4/25/2016,3802
1503960366,4/26/2016,1970
1624580081,4/26/2016,1402
1644430081,4/26/2016,3123
1844505072,4/26/2016,1347
1927972279,4/26/2016,2638
2022484408,4/26/2016,2793
2026352035,4/26/2016,1595
2320127002,4/26/2016,1632
2347167796,4/26/2016,1861
2873212765,4/26/2016,1882
3372868164,4/26/2016,2057
3977333714,4/26/2016,1551
4020332650,4/26/2016,1980
4319703577,4/26/2016,2236
4388161847,4/26/2016,2929
4445114986,4/26/2016,2291
4558609924,4/26/2016,2223
4702921684,4/26/2016,2784
5553957443,4/26/2016,2093
5577150313,4/26/2016,3088
6117666160,4/26/2016,2450
6290855005,4/26/2016,2060
6775888955,4/26/2016,2584
6962181067,4/26/2016,2012
7007744171,4/26/2016,2939
7086361926,4/26/2016,2781
8053475328,4/26/2016,2846
8253242879,4/26/2016,1813
8378563200,4/26/2016,3763
8583815059,4/26/2016,3093
8792009665,4/26/2016,1928
8877689391,4/26/2016,2860
1503960366,4/27/2016,2159
1624580081,4/27/2016,1670
1644430081,4/27/2016,2489
1844505072,4/27/2016,1348
1927972279,4/27/2016,2063
2022484408,4/27/2016,2463
2026352035,4/27/2016,1593
2320127002,4/27/2016,1481
2347167796,4/27/2016,2194
2873212765,4/27/2016,1966
3372868164,4/27/2016,2095
3977333714,4/27/2016,1377
4020332650,4/27/2016,1980
4319703577,4/27/2016,2324
4388161847,4/27/2016,3074
4445114986,4/27/2016,2361
4558609924,4/27/2016,2098
4702921684,4/27/2016,2908
5553957443,4/27/2016,1922
5577150313,4/27/2016,3294
6117666160,4/27/2016,2576
6290855005,4/27/2016,2743
6775888955,4/27/2016,1841
6962181067,4/27/2016,2034
7007744171,4/27/2016,2830
7086361926,4/27/2016,2693
8053475328,4/27/2016,2852
8253242879,4/27/2016,2008
8378563200,4/27/2016,3061
8583815059,4/27/2016,3142
8792009665,4/27/2016,2067
8877689391,4/27/2016,3808
1503960366,4/28/2016,1898
1624580081,4/28/2016,1401
1644430081,4/28/2016,3108
1844505072,4/28/2016,1992
1927972279,4/28/2016,2351
2022484408,4/28/2016,2296
2026352035,4/28/2016,1649
2320127002,4/28/2016,1473
2347167796,4/28/2016,1854
2873212765,4/28/2016,1835
3372868164,4/28/2016,1972
3977333714,4/28/2016,1407
4020332650,4/28/2016,1980
4319703577,4/28/2016,2367
4388161847,4/28/2016,2969
4445114986,4/28/2016,2203
4558609924,4/28/2016,2185
4702921684,4/28/2016,3033
5553957443,4/28/2016,1999
5577150313,4/28/2016,3580
6117666160,4/28/2016,1879
6290855005,4/28/2016,2687
6775888955,4/28/2016,1993
6962181067,4/28/2016,2182
7007744171,4/28/2016,2836
7086361926,4/28/2016,2862
8053475328,4/28/2016,3062
8253242879,4/28/2016,1580
8378563200,4/28/2016,2884
8583815059,4/28/2016,2757
8792009665,4/28/2016,2780
8877689391,4/28/2016,3060
1503960366,4/29/2016,1837
