id,date,step_total
6775888955,4/17/2016,2497
6962181067,4/17/2016,10145
7007744171,4/17/2016,8059
7086361926,4/17/2016,0
8053475328,4/17/2016,18827
8253242879,4/17/2016,10204
8378563200,4/17/2016,2132
8583815059,4/17/2016,3008
8792009665,4/17/2016,0
8877689391,4/17/2016,15118
1503960366,4/18/2016,13019
1624580081,4/18/2016,10536
1644430081,4/18/2016,7132
1844505072,4/18/2016,4597
1927972279,4/18/2016,244
2022484408,4/18/2016,14131
2026352035,4/18/2016,3325
2320127002,4/18/2016,6559
2347167796,4/18/2016,8247
2873212765,4/18/2016,7762
3372868164,4/18/2016,6798
3977333714,4/18/2016,11663
4020332650,4/18/2016,62
4319703577,4/18/2016,2276
4388161847,4/18/2016,11009
4445114986,4/18/2016,6155
4558609924,4/18/2016,8940
4702921684,4/18/2016,9105
5553957443,4/18/2016,3727
5577150313,4/18/2016,9893
6117666160,4/18/2016,5153
6290855005,4/18/2016,6885
6775888955,4/18/2016,8294
6962181067,4/18/2016,11404
7007744171,4/18/2016,14816
7086361926,4/18/2016,9827
8053475328,4/18/2016,17076
8253242879,4/18/2016,5151
8378563200,4/18/2016,13630
8583815059,4/18/2016,3864
8792009665,4/18/2016,0
8877689391,4/18/2016,11423
1503960366,4/19/2016,15506
1624580081,4/19/2016,2916
1644430081,4/19/2016,11256
1844505072,4/19/2016,197
1927972279,4/19/2016,0
2022484408,4/19/2016,11548
2026352035,4/19/2016,2424
2320127002,4/19/2016,5997
2347167796,4/19/2016,6711
2873212765,4/19/2016,7948
3372868164,4/19/2016,7711
3977333714,4/19/2016,12414
4020332650,4/19/2016,0
4319703577,4/19/2016,8925
4388161847,4/19/2016,10181
4445114986,4/19/2016,2064
4558609924,4/19/2016,5401
4702921684,4/19/2016,6708
5553957443,4/19/2016,15482
5577150313,4/19/2016,12574
6117666160,4/19/2016,11135
6290855005,4/19/2016,7142
6775888955,4/19/2016,0
6962181067,4/19/2016,10742
7007744171,4/19/2016,14194
7086361926,4/19/2016,10688
8053475328,4/19/2016,15929
8253242879,4/19/2016,4212
8378563200,4/19/2016,13070
8583815059,4/19/2016,5697
8792009665,4/19/2016,0
8877689391,4/19/2016,18785
1503960366,4/20/2016,10544
1624580081,4/20/2016,4974
1644430081,4/20/2016,2436
1844505072,4/20/2016,8
1927972279,4/20/2016,0
2022484408,4/20/2016,15112
2026352035,4/20/2016,7222
2320127002,4/20/2016,7192
2347167796,4/20/2016,10999
2873212765,4/20/2016,9202
3372868164,4/20/2016,4880
3977333714,4/20/2016,11658
4020332650,4/20/2016,0
4319703577,4/20/2016,8954
4388161847,4/20/2016,10553
4445114986,4/20/2016,2072
4558609924,4/20/2016,4803
4702921684,4/20/2016,8793
5553957443,4/20/2016,2713
5577150313,4/20/2016,8330
6117666160,4/20/2016,10449
6290855005,4/20/2016,6361
6775888955,4/20/2016,10771
6962181067,4/20/2016,13928
7007744171,4/20/2016,15566
7086361926,4/20/2016,14365
8053475328,4/20/2016,15108
8253242879,4/20/2016,6466
8378563200,4/20/2016,9388
8583815059,4/20/2016,5273
8792009665,4/20/2016,3147
8877689391,4/20/2016,19948
1503960366,4/21/2016,9819
1624580081,4/21/2016,6349
1644430081,4/21/2016,1223
1844505072,4/21/2016,8054
1927972279,4/21/2016,0
2022484408,4/21/2016,12453
2026352035,4/21/2016,2467
2320127002,4/21/2016,3404
2347167796,4/21/2016,10080
2873212765,4/21/2016,8859
3372868164,4/21/2016,8857
3977333714,4/21/2016,6093
4020332650,4/21/2016,0
4319703577,4/21/2016,3702
4388161847,4/21/2016,10055
4445114986,4/21/2016,3809
4558609924,4/21/2016,13743
4702921684,4/21/2016,6530
5553957443,4/21/2016,12346
5577150313,4/21/2016,10830
6117666160,4/21/2016,19542
6290855005,4/21/2016,0
6775888955,4/21/2016,0
